"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1213",622682,"Reyes, Victor","292","415.4","0.304","0.127","0.384","0.431","0.325","0.283","0.261","84","276","87.6","9.2","2227","88.8","88.53","130","627","586","-0.3","6.01","111","149","106","149","289","320","296"
"1180",572816,"Dickerson, Corey","279","422.9","0.304","0.262","0.344","0.565","0.367","0.319","0.259","79","260","87.1","15.9","2254","89.3","89.02","189","689","491","-0.3","6.05","117","149","114","150","289","319","300"
"2463",502110,"Martinez, J.D.","657","374.9","0.304","0.252","0.342","0.557","0.386","0.388","0.295","175","575","91.3","12.5","2284","88.7","88.34","326","1219","1244","-0.4","6.00","107","152","121","147","298","330","303"
"1375",669242,"Edman, Tommy","349","394.0","0.304","0.196","0.346","0.500","0.357","0.330","0.282","99","326","87.3","14.3","2244","88.8","88.51","123","658","717","-0.3","6.00","113","149","106","149","295","321","299"
"1380",669374,"Hiura, Keston","348","396.6","0.303","0.268","0.402","0.570","0.388","0.344","0.249","95","314","91.4","16.4","2262","89.3","85.81","256","708","672","-3.5","6.09","107","150","118","146","307","325","295"
"1605",621311,"Dahl, David","413","388.6","0.302","0.222","0.386","0.524","0.364","0.343","0.267","113","374","88.3","10.9","2245","88.6","88.39","258","836","769","-0.2","5.95","117","152","119","150","301","330","310"
"2773",593160,"Merrifield, Whit","735","377.3","0.302","0.160","0.350","0.463","0.340","0.318","0.274","206","681","86.6","15.5","2252","88.6","88.22","273","1368","1400","-0.4","5.99","105","150","105","146","302","319","289"
"368",624512,"McGuire, Reese","105","350.5","0.299","0.227","0.324","0.526","0.364","0.293","0.247","29","97","86.0","13.8","2274","89.0","88.35","42","194","174","-0.6","5.94","116","157","113","151","285","317","302"
"2085",493329,"Gurriel, Yuli","612","340.7","0.298","0.243","0.289","0.541","0.364","0.315","0.275","168","564","89.3","14.3","2247","88.4","87.29","153","1037","1048","-1.1","5.97","107","151","120","146","296","326","295"
"2234",607208,"Turner, Trea","569","392.6","0.298","0.200","0.348","0.497","0.356","0.339","0.279","155","521","90.3","9.7","2267","88.9","88.58","245","1047","1186","-0.3","6.00","106","150","105","145","305","321","294"
"1994",514888,"Altuve, Jose","548","363.9","0.298","0.252","0.303","0.550","0.374","0.335","0.260","149","500","86.6","9.2","2256","88.4","86.97","194","950","1044","-1.4","5.97","105","151","107","144","295","324","290"
"1221",571788,"Holt, Brock","295","413.9","0.297","0.104","0.365","0.402","0.333","0.300","0.247","77","259","87.4","11.1","2217","88.6","88.28","96","514","707","-0.3","6.02","112","148","108","150","278","317","302"
"1245",452254,"Pence, Hunter","316","394.0","0.297","0.255","0.333","0.552","0.377","0.361","0.279","85","286","91.5","9.9","2255","87.9","86.40","201","639","606","-1.5","5.95","108","150","119","146","304","322","294"
"2915",608324,"Bregman, Alex","690","422.5","0.296","0.296","0.281","0.592","0.418","0.370","0.261","164","554","89.3","19.6","2234","88.7","87.69","146","1022","1892","-1.0","5.98","106","151","119","145","296","326","292"
"2127",516782,"Marte, Starling","586","363.0","0.295","0.208","0.319","0.503","0.353","0.353","0.289","159","539","88.1","8.1","2253","88.8","87.84","284","1142","985","-1.0","6.01","105","150","108","145","305","322","293"
"1209",600303,"La Stella, Tommy","321","376.6","0.295","0.192","0.282","0.486","0.351","0.347","0.288","86","292","88.0","13.4","2237","88.7","88.12","60","512","696","-0.6","5.92","113","150","111","149","291","318","301"
"999",459964,"Joyce, Matt","238","419.7","0.295","0.155","0.351","0.450","0.372","0.360","0.270","59","200","87.3","16.7","2233","88.7","88.41","109","428","571","-0.3","5.99","116","159","126","149","297","322","299"
"2909",605141,"Betts, Mookie","706","412.0","0.295","0.229","0.309","0.524","0.380","0.405","0.304","176","597","91.0","19.2","2265","89.1","88.67","162","1115","1793","-0.4","6.01","107","152","119","145","293","327","300"
"2750",518692,"Freeman, Freddie","692","397.4","0.295","0.255","0.318","0.549","0.387","0.393","0.290","176","597","89.7","14.4","2200","89.5","89.11","347","1432","1317","-0.4","6.03","117","163","134","152","302","327","306"
"2494",645277,"Albies, Ozzie","702","355.3","0.295","0.205","0.325","0.500","0.354","0.348","0.285","189","640","88.9","15.7","2207","88.7","88.44","318","1386","1108","-0.3","5.99","113","153","111","149","298","323","299"
"2771",593871,"Polanco, Jorge","704","393.6","0.295","0.190","0.328","0.485","0.352","0.336","0.267","186","631","87.7","18.8","2224","88.4","87.58","215","1243","1527","-0.8","6.01","111","148","107","149","295","321","294"
